name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
opisthokonta,protein20,2,20,2.5600060416089115e-22,400,2.6020599913279625,2.6020599913279625,0.0
opisthokonta,protein20,3,20,4.096009666574257e-17,8000,3.9030899869919438,3.9030899869919438,0.0
opisthokonta,protein20,4,20,6.5303810852687454e-12,159989,5.204119982655925,5.204090123883887,-2.9858772037982817e-05
opisthokonta,protein20,5,20,7.337964131225347e-07,2970577,6.505149978319906,6.472840814158151,-0.032309164161755
opisthokonta,protein20,6,20,0.0013163649241708575,21124909,7.8061799739838875,7.324794846810701,-0.48138512717318616
opisthokonta,protein20,7,20,0.00899540781351613,36736323,9.107209969647869,7.565095684884174,-1.542114284763695
opisthokonta,protein20,8,20,0.012226954449601916,40308409,10.40823996531185,7.605395656596194,-2.802844308715656
opisthokonta,protein20,9,20,0.013527521363629344,41576956,11.709269960975831,7.6188526898825195,-4.090417271093312
opisthokonta,protein20,10,20,0.014496267495603447,42469754,13.010299956639813,7.628079745409046,-5.382220211230766
opisthokonta,protein20,11,20,0.015326756396126016,43213716,14.311329952303794,7.63562161342775,-6.675708338876044
opisthokonta,protein20,12,20,0.01608270038338812,43855345,15.612359947967775,7.6420225318535335,-7.9703374161142415
opisthokonta,protein20,13,20,0.016741946569121625,44418269,16.913389943631756,7.647561629890162,-9.265828313741594
opisthokonta,protein20,14,20,0.01736300702045333,44917280,18.214419939295738,7.652413449353518,-10.56200648994222
opisthokonta,protein20,15,20,0.017918833987355103,45359800,19.51544993495972,7.656671131001961,-11.858778803957758
opisthokonta,protein20,16,20,0.018418787029395006,45757234,20.8164799306237,7.660459763712329,-13.156020166911372
opisthokonta,protein20,17,20,0.01888842013076056,46114343,22.11750992628768,7.663836025540048,-14.453673900747633
opisthokonta,protein20,18,20,0.01930937609888315,46435697,23.418539921951663,7.666851968694908,-15.751687953256756
opisthokonta,protein20,19,20,0.01970389158594672,46726710,24.719569917615644,7.6695652036832955,-17.05000471393235
opisthokonta,protein20,20,20,0.02004875428838694,46990286,26.020599913279625,7.672008088305434,-18.348591824974193
opisthokonta,protein20,21,20,0.020372334224485866,47228927,27.321629908943606,7.6742080788972045,-19.6474218300464
opisthokonta,protein20,22,20,0.02067863613920704,47447114,28.622659904607588,7.676209801336702,-20.946450103270884
opisthokonta,protein20,23,20,0.0209590654295016,47644236,29.92368990027157,7.678010367202874,-22.245679533068696
opisthokonta,protein20,24,20,0.02120294803080697,47824323,31.22471989593555,7.6796488308803,-23.54507106505525
opisthokonta,protein20,25,20,0.021436761799861127,47987297,32.52574989159953,7.681126287939396,-24.844623603660136
opisthokonta,protein20,26,20,0.021652282750252834,48136239,33.82677988726351,7.682472154793294,-26.144307732470217
opisthokonta,protein20,27,20,0.021850156942715075,48270219,35.127809882927494,7.683679269199379,-27.444130613728113
opisthokonta,protein20,28,20,0.022014729428061524,48394014,36.428839878591475,7.684791645786075,-28.7440482328054
opisthokonta,protein20,29,20,0.02217821368635301,48504591,37.729869874255456,7.685782846882756,-30.0440870273727
opisthokonta,protein20,30,20,0.022326753519342653,48605457,39.03089986991944,7.6866850308249335,-31.344214839094505
